tweet_id,date_created,favorite_count,retweet_count
847842811428974592,Fri Mar 31 16:07:33 +0000 2017,5004,1186
847617282490613760,Fri Mar 31 01:11:22 +0000 2017,6464,376
847606175596138505,Fri Mar 31 00:27:14 +0000 2017,17324,3078
847251039262605312,Thu Mar 30 00:56:03 +0000 2017,18930,3909
847157206088847362,Wed Mar 29 18:43:12 +0000 2017,18345,5247
847116187444137987,Wed Mar 29 16:00:12 +0000 2017,19842,2871
846874817362120707,Wed Mar 29 00:01:05 +0000 2017,18584,3543
846514051647705089,Tue Mar 28 00:07:32 +0000 2017,41082,10354
846505985330044928,Mon Mar 27 23:35:28 +0000 2017,13039,2756
846153765933735936,Mon Mar 27 00:15:53 +0000 2017,29037,8151
846139713627017216,Sun Mar 26 23:20:02 +0000 2017,28749,9149
846042936437604353,Sun Mar 26 16:55:29 +0000 2017,14787,2582
845812042753855489,Sun Mar 26 01:38:00 +0000 2017,26949,7847
845677943972139009,Sat Mar 25 16:45:08 +0000 2017,23380,4374
845397057150107648,Fri Mar 24 22:08:59 +0000 2017,7072,1618
845306882940190720,Fri Mar 24 16:10:40 +0000 2017,21576,4847
845098359547420673,Fri Mar 24 02:22:04 +0000 2017,0,6930
844979544864018432,Thu Mar 23 18:29:57 +0000 2017,12646,2306
844973813909606400,Thu Mar 23 18:07:10 +0000 2017,13905,2843
844580511645339650,Wed Mar 22 16:04:20 +0000 2017,15274,2809
844223788422217728,Tue Mar 21 16:26:50 +0000 2017,12687,1987
843981021012017153,Tue Mar 21 00:22:10 +0000 2017,14086,2698
843856843873095681,Mon Mar 20 16:08:44 +0000 2017,19929,4165
843604394117681152,Sun Mar 19 23:25:35 +0000 2017,15661,2476
843235543001513987,Sat Mar 18 22:59:54 +0000 2017,19927,5390
842846295480000512,Fri Mar 17 21:13:10 +0000 2017,14197,3313
842765311967449089,Fri Mar 17 15:51:22 +0000 2017,6284,1175
842535590457499648,Fri Mar 17 00:38:32 +0000 2017,16880,3171
842163532590374912,Thu Mar 16 00:00:07 +0000 2017,22689,5252
842115215311396866,Wed Mar 15 20:48:07 +0000 2017,13008,2755
841833993020538882,Wed Mar 15 02:10:39 +0000 2017,0,13539
841680585030541313,Tue Mar 14 16:01:03 +0000 2017,23999,7145
841439858740625411,Tue Mar 14 00:04:30 +0000 2017,11704,3312
841320156043304961,Mon Mar 13 16:08:50 +0000 2017,18388,5013
841314665196081154,Mon Mar 13 15:47:01 +0000 2017,14721,4228
841077006473256960,Mon Mar 13 00:02:39 +0000 2017,21306,4880
840761248237133825,Sun Mar 12 03:07:56 +0000 2017,0,1620
840728873075638272,Sun Mar 12 00:59:17 +0000 2017,0,14567
840698636975636481,Sat Mar 11 22:59:09 +0000 2017,163,2
840696689258311684,Sat Mar 11 22:51:24 +0000 2017,11454,889
840632337062862849,Sat Mar 11 18:35:42 +0000 2017,8411,1620
840370681858686976,Sat Mar 11 01:15:58 +0000 2017,15306,4173
840268004936019968,Fri Mar 10 18:27:58 +0000 2017,17855,5205
839990271299457024,Fri Mar 10 00:04:21 +0000 2017,12505,2065
839549326359670784,Wed Mar 08 18:52:12 +0000 2017,25528,7058
839290600511926273,Wed Mar 08 01:44:07 +0000 2017,0,132
839239871831150596,Tue Mar 07 22:22:32 +0000 2017,25182,5925
838952994649550848,Tue Mar 07 03:22:35 +0000 2017,18327,3659
838921590096166913,Tue Mar 07 01:17:48 +0000 2017,10401,1853
838916489579200512,Tue Mar 07 00:57:32 +0000 2017,0,31
838831947270979586,Mon Mar 06 19:21:35 +0000 2017,0,10004
838561493054533637,Mon Mar 06 01:26:54 +0000 2017,10236,1230
838476387338051585,Sun Mar 05 19:48:43 +0000 2017,20924,4334
838201503651401729,Sun Mar 05 01:36:26 +0000 2017,0,9164
838150277551247360,Sat Mar 04 22:12:52 +0000 2017,1566,303
838085839343206401,Sat Mar 04 17:56:49 +0000 2017,134,1
838083903487373313,Sat Mar 04 17:49:08 +0000 2017,16427,2834
837820167694528512,Sat Mar 04 00:21:08 +0000 2017,31777,7139
837482249356513284,Fri Mar 03 01:58:22 +0000 2017,3599,405
837471256429613056,Fri Mar 03 01:14:41 +0000 2017,11961,2059
837110210464448512,Thu Mar 02 01:20:01 +0000 2017,15042,2176
836989968035819520,Wed Mar 01 17:22:13 +0000 2017,11928,2109
836753516572119041,Wed Mar 01 01:42:39 +0000 2017,18084,4258
836677758902222849,Tue Feb 28 20:41:37 +0000 2017,11812,2021
836648853927522308,Tue Feb 28 18:46:45 +0000 2017,0,507
836397794269200385,Tue Feb 28 02:09:08 +0000 2017,0,25035
836380477523124226,Tue Feb 28 01:00:19 +0000 2017,13886,2745
836260088725786625,Mon Feb 27 17:01:56 +0000 2017,19909,3976
836001077879255040,Sun Feb 26 23:52:43 +0000 2017,17855,3883
835685285446955009,Sun Feb 26 02:57:52 +0000 2017,0,7404
835574547218894849,Sat Feb 25 19:37:50 +0000 2017,16620,3293
